"","gene_id","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"1673","AC069063.2",1.14587097844788,-2.26458809242307,0.264626357912194,-8.55381883227735,1.19081758263311e-17,3.68127077487478e-17
"1702","AC073072.7",1.83097021881378,2.39956604142683,0.252096838294523,9.51001484367812,1.90635332250857e-21,6.61243705177904e-21
"1735","AC073464.7",1.95042698165413,-4.19715103384113,0.316618471622625,-13.2641145844283,3.73809828759526e-40,2.18537542661168e-39
"1748","AC073842.19",8.20737979147545,-3.52321727893543,0.194952347395658,-18.0624139856633,6.30060556798215e-73,1.00111885560784e-71
"1749","AC073850.6",1.43387647737787,-2.0417506669765,0.288371309480961,-7.07772347122151,1.4654176730674e-12,3.79733478762553e-12
"1765","AC074183.4",1.7397536103693,-3.55278007255903,0.346776096978552,-10.2491779821815,1.1935423320043e-24,4.54061251050895e-24
"1767","AC074212.6",59.9196314192929,-2.93060040105949,0.109884559382348,-26.6688979616096,1.0806090188511e-156,2.17839695030957e-154
"1783","AC078852.1",0.77544683868972,-2.17798919166699,0.312983038189901,-6.96272123174008,3.33761868195102e-12,8.54790477474067e-12
"1789","AC078899.3",0.355845237476474,-2.20844063621427,0.59950449403638,-3.69391780120779,0.000220825210898838,0.000388882673614968
"1790","AC078941.1",503.555982016477,-3.8848027265017,0.18494905009432,-21.0045133287126,5.96414936322679e-98,2.20763381797029e-96
"1824","AC079767.4",19.2353292992663,3.4169686966479,0.24962116798093,16.904293685447,4.18306839955211e-64,4.99199814166344e-63
"1827","AC079776.3",0.530317697567828,-2.72039133873154,0.495586647825546,-5.49736634933329,3.85505284092712e-08,8.35725622769785e-08
"1829","AC079779.4",18.6044685406707,-3.78450549171254,0.160761225934861,-23.5322293120921,1.90887319132129e-122,1.69004065655045e-120
"1830","AC079779.5",0.622829615102056,-2.99395887936091,0.417154695350584,-7.18710263259372,6.6180663751533e-13,1.73738606389259e-12
"1852","AC083843.1",709.80892311054,-2.20891344797652,0.0891604556326638,-24.7745557052876,1.68615567451951e-135,2.09093941846568e-133
"1854","AC083843.4",149.45048616334,-2.43703586588315,0.104010713845511,-23.4304558138574,2.09180023707355e-121,1.79538574933103e-119
"1867","AC083949.1",2.36118546616644,2.17190654059398,0.287366478855064,7.54031698453323,4.68830443042976e-14,1.28421188182143e-13
"1895","AC087762.1",13.9316459214487,-3.14419373389529,0.170733366738002,-18.4113333580386,1.06566347780204e-75,1.85935336495331e-74
"1898","AC090044.2",3.93645059990319,-2.15336741788175,0.194848419227596,-11.0499536128712,2.19328181868287e-28,9.27074282714231e-28
"1975","AC092535.3",41.9102070411167,-4.68505327854448,0.158324253794666,-29.5801395136617,2.69117223713987e-192,1.21597678898814e-189
"1988","AC092580.4",6.76607152961074,2.39424492340095,0.190705096377336,12.5426782518582,4.36006734274208e-36,2.28099876554686e-35
"1994","AC092635.1",0.868350578254953,-2.3573605517377,0.354046902652276,-6.6499116419556,2.93269022473314e-11,7.24510135333457e-11
"1998","AC092641.2",2.58107384977127,-2.39397619654456,0.184397127243118,-12.9755571725845,1.68367529757776e-38,9.44829064208163e-38
"2006","AC092667.2",1.58282752568928,2.12943672829065,0.257583503091532,5.52939104115027,3.21344316366548e-08,6.98984344641933e-08
"2016","AC092798.2",1.85474666725327,-2.19755847942232,0.254460427268151,-8.63435402017735,5.90598291007454e-18,1.84359714281768e-17
"2064","AC093642.1",479.220596379909,-5.02119161740755,0.163046519957037,-30.7949605961027,3.06089131380548e-208,1.85113288531836e-205
"2065","AC093642.3",507.696476163766,-4.8289023949643,0.136263016086598,-35.4369361748709,4.61050353567192e-275,1.1327430874204e-271
"2078","AC093732.1",2.6092033354329,2.46348192891135,0.306814783771769,8.01026682173292,1.14459839355041e-15,3.31473131357498e-15
"2086","AC093850.2",67.4536233568005,3.83382014612073,0.286660075720927,13.3675060916613,9.36276825574734e-41,5.56640078846685e-40
"2090","AC094019.4",3.35763399192269,-3.17862368864339,0.210523857043254,-15.081530248507,2.1424521225917e-51,1.74187782707507e-50
"2097","AC096579.13",2.0068666221583,2.08721855854992,0.325885465093031,7.94482498731746,1.94465145444523e-15,5.5872130298379e-15
"2157","AC098831.4",1.4278509528577,-2.6732311399653,0.346306255689759,-7.72226082433824,1.14284231907863e-14,3.20207637654889e-14
"2203","AC104389.28",1.16933213425291,-2.42713770428508,0.239304892118118,-5.89178394294187,3.82048491855227e-09,8.63966301261518e-09
"2210","AC104534.3",180.378213959204,2.76961820947455,0.507132108363756,5.4609313118668,4.73643290703057e-08,1.02279266960762e-07
"2215","AC104654.1",3.90760155709802,5.89699156190987,0.389524878781907,9.45886896755054,3.11291984805543e-21,1.07200069406096e-20
"2216","AC104654.2",11.1193757768324,2.26928668021139,0.157386617018391,14.4108643808929,4.42141993139229e-47,3.18034798724667e-46
"2218","AC104655.3",3.54969758144143,2.04470379908605,0.214475542495118,9.52090312569271,1.71680476959382e-21,5.96443619025481e-21
"2222","AC104699.1",1.26703731565262,2.22455839972734,0.344757139490257,6.43460560105073,1.23794347256403e-10,2.97982719407826e-10
"2232","AC104820.2",3.92126945127064,2.23044369921766,0.22616049468803,9.8472978137448,7.04115556114783e-23,2.54564356763286e-22
"2245","AC105393.2",0.340680388595086,-2.31816738453188,0.62089686925011,-3.7428611667365,0.000181936760626802,0.000322304374053159
"2288","AC108142.1",23.6435426393179,2.0449564964679,0.167118374399163,12.2340853921938,2.04394144122822e-34,1.02288145200104e-33
"2298","AC108676.1",14.7998075123825,2.04075194159384,0.185590779709537,10.9927224622444,4.14239207931799e-28,1.73545169602462e-27
"2308","AC109631.1",1.33762999396044,-2.41142953604876,0.250692979844382,-9.60996124356309,7.25762987441219e-22,2.55003066109352e-21
"2320","AC110781.3",1.52067737543392,2.77990199489466,0.209335236264439,-6.25386438856469,4.00418742766232e-10,9.43785872295273e-10
"2333","AC112721.1",1.63279728074704,2.32298050127901,0.333170537483767,6.94666122750802,3.74032424403599e-12,9.56120080849622e-12
"2334","AC112721.2",2.76220447943017,3.06442296836753,0.281740113222512,10.848834039009,2.01985453706644e-27,8.30028035250697e-27
"2347","AC114730.11",44.3472484749766,-3.00675895973487,0.112669551516604,-26.6848135741989,7.06347003776759e-157,1.44617191242002e-154
"2349","AC114730.3",9.85648746723862,2.245864346719,0.224995698121468,9.97582672061146,1.94475068849522e-23,7.1520394391194e-23
